Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,Wii,Activision,Treyarch,7.5,,,1.37,0.8,0.46,,0.12,2010.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,T,DS,Activision,n-Space,7.0,,,0.59,0.5,0.04,,0.04,2010.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,XBL,Activision,Treyarch,8.8,,,,,,,,2011.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,PSN,Activision,Treyarch,8.7,,,,,,,,2011.0
56,Halo 3,X360,Microsoft Game Studios,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,,,,,,2007.0
56,Halo 3,X360,Microsoft Game Studios,Shooter,M,XBL,Microsoft Game Studios,Bungie,,,,,,,,,2010.0
58,Red Dead Redemption 2,PS4,Rockstar Games,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,,13.94,5.26,6.21,0.21,2.26,2018.0
58,Red Dead Redemption 2,PS4,Rockstar Games,Action-Adventure,M,XOne,Rockstar Games,Rockstar Games,,,,5.77,3.76,1.47,,0.54,2018.0
59,Call of Duty: Black Ops II,X360,Activision,Shooter,M,X360,Activision,Treyarch,,,,13.86,8.27,4.32,0.07,1.2,2012.0
59,Call of Duty: Black Ops II,X360,Activision,Shooter,M,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012.0
59,Call of Duty: Black Ops II,X360,Activision,Shooter,M,PC,Activision,Treyarch,,,,1.51,0.66,0.7,,0.15,2012.0
59,Call of Duty: Black Ops II,X360,Activision,Shooter,M,WiiU,Activision,Treyarch,8.6,,,0.42,0.2,0.18,,0.04,2012.0
60,Call of Duty: Black Ops II,PS3,Activision,Shooter,M,X360,Activision,Treyarch,,,,13.86,8.27,4.32,0.07,1.2,2012.0
60,Call of Duty: Black Ops II,PS3,Activision,Shooter,M,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012.0
60,Call of Duty: Black Ops II,PS3,Activision,Shooter,M,PC,Activision,Treyarch,,,,1.51,0.66,0.7,,0.15,2012.0
60,Call of Duty: Black Ops II,PS3,Activision,Shooter,M,WiiU,Activision,Treyarch,8.6,,,0.42,0.2,0.18,,0.04,2012.0
61,Call of Duty: Modern Warfare 2,X360,Activision,Shooter,M,X360,Activision,Infinity Ward,9.5,9.0,,13.53,8.54,3.63,0.08,1.28,2009.0
61,Call of Duty: Modern Warfare 2,X360,Activision,Shooter,M,PS3,Activision,Infinity Ward,9.5,,,10.61,4.99,3.66,0.38,1.59,2009.0
61,Call of Duty: Modern Warfare 2,X360,Activision,Shooter,M,PC,Activision,Infinity Ward,9.0,,,0.88,0.01,0.79,,0.08,2009.0
